iter	RMSE
0	14.6483941
1	14.22012211
2	13.8359083
3	13.44034463
4	13.04016607
5	12.67760826
6	12.37500202
7	12.05238193
8	11.72699967
9	11.39647098
10	11.07211011
11	10.79492852
12	10.54008862
13	10.26956915
14	9.999750692
15	9.749403221
16	9.5107446
17	9.33030089
18	9.107323568
19	8.876302861
20	8.657972381
21	8.450265405
22	8.245835416
23	8.05970964
24	7.865263938
25	7.703884818
26	7.542669147
27	7.378821088
28	7.219644781
29	7.088095417
30	6.938968731
31	6.779993861
32	6.662088122
33	6.526187643
34	6.412686157
35	6.283076743
36	6.16724228
37	6.066058546
38	5.957891343
39	5.850788863
40	5.7599897
41	5.663252065
42	5.571232611
43	5.486136725
44	5.408531298
45	5.319860151
46	5.24108125
47	5.170262952
48	5.106992453
49	5.038080132
50	4.977015056
51	4.910088226
52	4.852148254
53	4.797252669
54	4.738714488
55	4.682202781
56	4.63216958
57	4.581581471
58	4.532431306
59	4.48228442
60	4.438379256
61	4.390821657
62	4.350661645
63	4.31234483
64	4.273993302
65	4.235726076
66	4.202905361
67	4.169994467
68	4.140869445
69	4.106236968
70	4.073367446
71	4.049460334
72	4.020221051
73	3.997259375
74	3.96992039
75	3.946921765
76	3.926054064
77	3.901570252
78	3.885209994
79	3.863041407
80	3.841642307
81	3.819919765
82	3.79651708
83	3.775471645
84	3.761770098
85	3.743422174
86	3.734863052
87	3.719935034
88	3.701675429
89	3.686354995
90	3.66884702
91	3.654100121
92	3.640631422
93	3.62704734
94	3.612448549
95	3.599467856
96	3.583789589
97	3.56876977
98	3.555527383
99	3.543529149
100	3.530259858
101	3.51740722
102	3.507350501
103	3.497279534
104	3.487915631
105	3.47832814
106	3.467345474
107	3.457078413
108	3.447545412
109	3.435647374
110	3.426184035
111	3.419896216
112	3.41192211
113	3.407216385
114	3.39867098
115	3.394882612
116	3.38897422
117	3.380664891
118	3.372359284
119	3.364333188
120	3.3572053
121	3.350777171
122	3.343256868
123	3.336882584
124	3.33092813
125	3.324662405
126	3.316797707
127	3.310489124
128	3.302999699
129	3.295270456
130	3.289781489
131	3.28488876
132	3.279327346
133	3.276061037
134	3.271307451
135	3.267367903
136	3.26309785
137	3.258847303
138	3.253435727
139	3.249468087
140	3.246132492
141	3.241402247
142	3.237171943
143	3.232658826
144	3.227310589
145	3.222115195
146	3.218418394
147	3.215739106
148	3.21060906
149	3.205944214
150	3.20170226
151	3.197898348
152	3.193963272
153	3.191362152
154	3.187714823
155	3.187224591
156	3.183021144
157	3.178999111
158	3.175076949
159	3.17041051
160	3.167474449
161	3.163826973
162	3.161173369
163	3.15539265
164	3.152600877
165	3.149110391
166	3.145106678
167	3.141819083
168	3.136988145
169	3.133388418
170	3.12932173
171	3.12622895
172	3.124800632
173	3.12226929
174	3.118538803
175	3.117454436
176	3.111016867
177	3.107113079
178	3.102396251
179	3.099266475
180	3.096828174
181	3.092990913
182	3.088653374
183	3.086476075
184	3.08397407
185	3.079504675
186	3.076930994
187	3.074280451
188	3.070820402
189	3.068566084
190	3.067704341
191	3.064171475
192	3.06091564
193	3.058530922
194	3.057294028
195	3.056883498
196	3.05178997
197	3.049406949
198	3.049022735
199	3.046049742
200	3.044260971
201	3.042434751
202	3.040405949
203	3.039258008
204	3.039063458
205	3.035509418
206	3.030772846
207	3.029591146
208	3.02730004
209	3.02423657
210	3.021414379
211	3.015363597
212	3.01197587
213	3.005780549
214	3.004176783
215	3.00120218
216	2.997618445
217	2.994957075
