iter	Passed	Remaining
0	23	23789
1	25	12937
2	28	9394
3	30	7575
4	32	6421
5	35	5826
6	37	5304
7	39	4920
8	41	4588
9	43	4285
10	44	4039
11	46	3841
12	48	3709
13	50	3543
14	51	3389
15	53	3268
16	54	3167
17	55	3041
18	57	2964
19	59	2928
20	62	2920
21	64	2856
22	66	2817
23	67	2758
24	69	2698
25	70	2644
26	73	2639
27	74	2593
28	77	2595
29	79	2566
30	80	2530
31	82	2494
32	83	2459
33	85	2423
34	86	2393
35	88	2359
36	90	2351
37	91	2327
38	93	2306
39	95	2284
40	96	2257
41	98	2237
42	99	2216
43	101	2196
44	102	2176
45	104	2175
46	106	2166
47	108	2145
48	109	2125
49	110	2108
50	112	2088
51	113	2069
52	114	2052
53	116	2035
54	118	2043
55	120	2037
56	122	2026
57	124	2014
58	125	2003
59	126	1989
60	128	1976
61	129	1961
62	132	1974
63	134	1968
64	135	1954
65	137	1940
66	138	1927
67	139	1914
68	140	1900
69	142	1888
70	143	1878
71	144	1865
72	147	1874
73	149	1866
74	150	1855
75	151	1846
76	153	1834
77	154	1824
78	155	1815
79	157	1806
80	158	1799
81	162	1815
82	163	1807
83	164	1798
84	166	1790
85	167	1781
86	168	1766
87	169	1759
88	171	1750
89	175	1777
90	177	1774
91	180	1780
92	181	1773
93	183	1765
94	184	1759
95	186	1755
96	187	1749
97	190	1750
98	191	1743
99	192	1736
100	194	1728
101	195	1720
102	196	1713
103	198	1708
104	199	1702
105	201	1695
106	203	1695
107	204	1692
108	206	1685
109	207	1679
110	208	1673
111	210	1667
112	211	1663
113	212	1654
114	214	1648
115	214	1638
116	217	1641
117	219	1637
118	220	1632
119	221	1627
120	223	1621
121	224	1615
122	225	1610
123	227	1604
124	228	1598
125	230	1597
126	232	1595
127	233	1591
128	235	1587
129	236	1582
130	237	1578
131	239	1573
132	240	1568
133	241	1562
134	242	1556
135	245	1561
136	247	1559
137	248	1554
138	250	1551
139	251	1546
140	253	1541
141	254	1536
142	255	1532
143	257	1527
144	260	1533
145	261	1528
146	262	1524
147	264	1519
148	265	1517
149	267	1513
150	268	1509
151	269	1506
152	271	1501
153	276	1517
154	278	1516
155	278	1509
156	280	1506
157	281	1502
158	283	1500
159	285	1497
160	289	1508
161	291	1507
162	293	1507
163	294	1503
164	297	1503
165	299	1506
166	304	1520
167	306	1516
168	308	1516
169	309	1513
170	311	1510
171	313	1507
172	314	1502
173	318	1511
174	320	1509
175	321	1504
176	322	1500
177	323	1496
178	325	1492
179	326	1488
180	328	1484
181	331	1488
182	332	1485
183	334	1482
184	336	1480
185	337	1478
186	339	1476
187	341	1473
188	344	1477
189	347	1479
190	348	1476
191	350	1474
192	351	1471
193	353	1468
194	355	1466
195	355	1460
196	358	1462
197	361	1463
198	362	1459
199	364	1456
200	365	1454
201	367	1451
202	369	1451
203	372	1453
204	373	1446
205	374	1443
206	376	1440
207	377	1437
208	378	1433
209	380	1429
210	381	1426
211	382	1422
212	383	1418
213	387	1422
214	388	1418
215	389	1415
216	391	1412
217	392	1409
218	394	1406
219	395	1402
220	397	1399
221	398	1396
222	400	1395
223	402	1393
224	403	1390
225	405	1387
226	406	1384
227	408	1381
228	409	1379
229	410	1375
230	412	1374
231	414	1372
232	416	1369
233	417	1366
234	418	1363
235	420	1360
236	421	1356
237	422	1353
238	423	1350
239	425	1346
240	428	1348
241	429	1345
242	431	1343
243	432	1340
244	433	1337
245	435	1333
246	436	1330
247	437	1327
248	439	1324
249	441	1325
250	443	1322
251	444	1319
252	445	1316
253	447	1313
254	448	1310
255	449	1306
256	451	1306
257	452	1302
258	454	1301
259	456	1299
260	458	1298
261	460	1296
262	461	1293
263	463	1290
264	464	1288
265	465	1285
266	466	1282
267	469	1281
268	471	1280
269	472	1276
270	473	1274
271	475	1271
272	476	1269
273	477	1266
274	479	1263
275	480	1260
276	481	1257
277	484	1258
278	485	1255
279	487	1253
280	488	1251
281	490	1248
282	491	1245
283	492	1242
284	494	1239
285	496	1238
286	498	1237
287	499	1235
288	501	1232
289	502	1230
290	503	1227
291	505	1224
292	506	1222
293	507	1219
294	509	1217
